DateTime,Value
2021-06-26 16:49:07.030002,1
2021-06-26 16:49:08.174514,2
2021-06-26 16:49:09.318331,3
2021-06-26 16:49:10.461827,4
2021-06-26 16:49:11.606038,5
2021-06-26 16:49:12.750228,6
2021-06-26 16:49:13.894246,7
2021-06-26 16:49:15.038956,8
2021-06-26 16:49:16.182866,9
2021-06-26 16:49:17.326365,10
2021-06-26 16:49:18.470027,11
2021-06-26 16:49:19.613935,12
2021-06-26 16:49:20.755922,13
2021-06-26 16:49:21.899075,14
2021-06-26 16:49:23.042867,15
2021-06-26 16:49:24.183951,16
2021-06-26 16:49:25.324811,17
2021-06-26 16:49:26.465580,18
2021-06-26 16:49:27.610344,19
2021-06-26 16:49:28.753547,20
2021-06-26 16:49:29.898434,21
2021-06-26 16:49:31.042309,22
2021-06-26 16:49:32.182697,23
2021-06-26 16:49:33.326729,24
2021-06-26 16:49:34.470076,25
2021-06-26 16:49:35.612083,26
2021-06-26 16:49:36.757443,27
2021-06-26 16:49:37.901239,28
2021-06-26 16:49:39.046280,29
2021-06-26 16:49:40.190467,30
2021-06-26 16:49:41.332863,31
2021-06-26 16:49:42.476503,32
2021-06-26 16:49:43.617327,33
2021-06-26 16:49:44.758537,34
2021-06-26 16:49:45.901605,35
2021-06-26 16:49:47.052947,36
2021-06-26 16:49:48.197957,37
2021-06-26 16:49:49.340251,38
2021-06-26 16:49:50.483460,39
2021-06-26 16:49:51.625230,40
2021-06-26 16:49:52.770458,41
2021-06-26 16:49:53.913931,42
2021-06-26 16:49:55.058760,43
2021-06-26 16:49:56.202996,44
2021-06-26 16:49:57.346226,45
2021-06-26 16:49:58.491000,46
2021-06-26 16:49:59.634618,47
