	DateTime	Value	T_sec
0	2021-06-26 16:49:07.030002	1	2021-06-26 16:49:07:00
1	2021-06-26 16:49:08.174514	2	2021-06-26 16:49:08:00
4	2021-06-26 16:49:11.606038	5	2021-06-26 16:49:12:00
5	2021-06-26 16:49:12.750228	6	2021-06-26 16:49:13:00
6	2021-06-26 16:49:13.894246	7	2021-06-26 16:49:14:00
7	2021-06-26 16:49:15.038956	8	2021-06-26 16:49:15:00
8	2021-06-26 16:49:16.182866	9	2021-06-26 16:49:16:00
11	2021-06-26 16:49:19.613935	12	2021-06-26 16:49:20:00
12	2021-06-26 16:49:20.755922	13	2021-06-26 16:49:21:00
13	2021-06-26 16:49:21.899075	14	2021-06-26 16:49:22:00
14	2021-06-26 16:49:23.042867	15	2021-06-26 16:49:23:00
15	2021-06-26 16:49:24.183951	16	2021-06-26 16:49:24:00
18	2021-06-26 16:49:27.610344	19	2021-06-26 16:49:28:00
19	2021-06-26 16:49:28.753547	20	2021-06-26 16:49:29:00
20	2021-06-26 16:49:29.898434	21	2021-06-26 16:49:30:00
21	2021-06-26 16:49:31.042309	22	2021-06-26 16:49:31:00
22	2021-06-26 16:49:32.182697	23	2021-06-26 16:49:32:00
25	2021-06-26 16:49:35.612083	26	2021-06-26 16:49:36:00
26	2021-06-26 16:49:36.757443	27	2021-06-26 16:49:37:00
27	2021-06-26 16:49:37.901239	28	2021-06-26 16:49:38:00
28	2021-06-26 16:49:39.046280	29	2021-06-26 16:49:39:00
29	2021-06-26 16:49:40.190467	30	2021-06-26 16:49:40:00
32	2021-06-26 16:49:43.617327	33	2021-06-26 16:49:44:00
33	2021-06-26 16:49:44.758537	34	2021-06-26 16:49:45:00
34	2021-06-26 16:49:45.901605	35	2021-06-26 16:49:46:00
