	location	date	total_cases_per_million	new_cases_per_million	new_deaths_per_million	reproduction_rate	total_tests_per_thousand	new_tests_per_thousand	total_vaccinations_per_hundred	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	population	life_expectancy
45969	Italy	2021-01-04	35828.292	178.592	5.756	1.06	446.633	1.29	0.32	0.32	0.0	60461828.0	83.51
45970	Italy	2021-01-05	36082.584	254.293	10.734	1.08	448.868	2.235	0.45	0.45	0.0	60461828.0	83.51
45971	Italy	2021-01-06	36418.763	336.179	9.064	1.09	451.822	2.954	0.56	0.56	0.0	60461828.0	83.51
45972	Italy	2021-01-07	36723.352	304.589	6.847	1.06	453.828	2.006	0.71	0.71	0.0	60461828.0	83.51
45973	Italy	2021-01-08	37013.271	289.918	10.254	1.06	456.148	2.32	0.87	0.87	0.0	60461828.0	83.51
45974	Italy	2021-01-09	37343.661	330.39	7.989	1.08	458.994	2.847	1.01	1.01	0.0	60461828.0	83.51
45975	Italy	2021-01-10	37651.706	308.046	5.971	1.06	461.306	2.312	1.11	1.11	0.0	60461828.0	83.51
45976	Italy	2021-01-11	37858.945	207.238	7.41	1.03	462.822	1.516	1.24	1.24	0.0	60461828.0	83.51
45977	Italy	2021-01-12	38094.498	235.554	10.188	0.98	465.164	2.343	1.38	1.38	0.0	60461828.0	83.51
45978	Italy	2021-01-13	38355.374	260.875	8.385	0.94	468.066	2.901	1.53	1.53	0.0	60461828.0	83.51
45979	Italy	2021-01-14	38640.562	285.188	8.634	0.92	470.722	2.656	1.69	1.69	0.0	60461828.0	83.51
45980	Italy	2021-01-15	38907.573	267.011	7.889	0.91	475.245	4.524	1.83	1.83	0.0	60461828.0	83.51
45981	Italy	2021-01-16	39177.33	269.757	7.856	0.9	479.569	4.323	1.94	1.94	0.0	60461828.0	83.51
45982	Italy	2021-01-17	39384.8	207.47	6.235	0.89	483.06	3.491	2.0	2.0	0.0	60461828.0	83.51
45983	Italy	2021-01-18	39530.76	145.96	6.235	0.87	485.684	2.624	2.07	2.06	0.01	60461828.0	83.51
45984	Italy	2021-01-19	39704.357	173.597	9.973	0.86	489.887	4.202	2.13	2.11	0.02	60461828.0	83.51
45985	Italy	2021-01-20	39928.763	224.406	8.667	0.86	494.514	4.627	2.18	2.16	0.02	60461828.0	83.51
45986	Italy	2021-01-21	40161.224	232.461	8.617	0.86	498.939	4.425	2.24	2.18	0.06	60461828.0	83.51
45987	Italy	2021-01-22	40386.705	225.481	7.807	0.87	503.317	4.378	2.28	2.2	0.08	60461828.0	83.51
45988	Italy	2021-01-23	40607.191	220.486	8.071	0.89	508.053	4.736	2.35	2.21	0.13	60461828.0	83.51
45989	Italy	2021-01-24	40799.511	192.32	4.945	0.91	511.629	3.576	2.4	2.22	0.18	60461828.0	83.51
45990	Italy	2021-01-25	40941.071	141.56	6.947	0.93	513.729	2.099	2.52	2.23	0.29	60461828.0	83.51
45991	Italy	2021-01-26	41116.124	175.053	8.948	0.94	517.967	4.239	2.65	2.23	0.42	60461828.0	83.51
45992	Italy	2021-01-27	41367.373	251.249	7.724	0.95	522.826	4.859	2.77	2.24	0.52	60461828.0	83.51
45993	Italy	2021-01-28	41604.878	237.505	8.137	0.94	527.384	4.558	2.92	2.25	0.67	60461828.0	83.51
45994	Italy	2021-01-29	41829.202	224.323	7.889	0.94	531.829	4.445	3.08	2.26	0.82	60461828.0	83.51
